feature,id,X,Y
C,568,479787.5938,3159051.565
C,569,481857.5938,3158800.269
C,570,478572.5938,3158700.917
C,571,479367.5938,3157784.343
C,572,479847.5938,3157894.898
C,573,479037.5938,3158864.157
C,574,480312.5938,3158659.528
C,575,481677.5938,3158751.565
C,576,481977.5938,3158701.009
C,577,478437.5938,3158633.509
C,578,478797.5938,3158556.38
C,579,479142.5938,3158395.269
C,580,480387.5938,3158393.509
C,581,478887.5938,3158301.565
C,582,478707.5938,3158311.009
C,583,478422.5938,3158248.972
C,584,478092.5938,3158172.213
C,585,480102.5938,3158008.972
C,586,478122.5938,3158041.009
C,587,478227.5938,3157932.12
C,588,481137.5938,3157842.12
C,589,479622.5938,3157868.417
C,590,480492.5938,3157118.324
C,591,479577.5938,3156654.713
C,592,480132.5938,3157011.565
C,593,480477.5938,3156866.935
C,594,479577.5938,3156908.417
C,595,480837.5938,3156617.861
C,596,479682.5938,3155776.38
C,597,480507.5938,3156219.713
C,598,479457.5938,3155930.454
C,599,480252.5938,3156649.806
C,600,481302.5938,3156071.843
C,601,480237.5938,3156475.269
C,602,480717.5938,3156398.417
C,603,478752.5938,3155878.602
C,604,480852.5938,3156392.861
C,605,480627.5938,3156090.639
C,606,480867.5938,3156231.565
C,607,479052.5938,3155927.676
C,608,480312.5938,3156111.565
C,609,481662.5938,3155012.861
C,610,480747.5938,3155903.231
C,611,481047.5938,3155982.12
C,612,480987.5938,3155878.972
C,613,481452.5938,3155846.935
C,614,482097.5938,3155758.972
C,615,481932.5938,3155852.861
C,616,481977.5938,3155907.306
C,617,478482.5938,3155732.676
C,618,478377.5938,3155599.528
C,619,481647.5938,3155687.861
C,620,482982.5938,3155351.75
C,621,483102.5938,3155160.546
C,622,482352.5938,3154949.898
C,623,480732.5938,3155511.565
C,624,481527.5938,3155393.231
C,625,483432.5938,3155235.454
C,626,479937.5938,3155380.083
C,627,483942.5938,3155394.713
C,628,478437.5938,3155491.009
C,629,481947.5938,3155421.565
C,630,478032.5938,3155391.565
C,631,483582.5938,3155387.861
C,632,480357.5938,3155292.12
